classical_3x3,quantum_3x3,classical_4x4,quantum_4x4
-1.3599999999999999,-1.44,-1.48,-1.4
-1.44,-1.04,-3.4800000000000013,-1.12
0.72,0.31999999999999995,-1.8800000000000003,-1.9200000000000004
0.72,-1.4,-1.9600000000000004,-1.52
0.72,0.8,0.44000000000000006,0.6799999999999999
-1.04,-1.04,-1.12,-1.44
-1.44,-1.08,-2.220446049250313e-16,-1.44
-1.16,-1.04,-1.12,-1.56
-1.08,-1.8000000000000003,-5.720000000000003,-1.04
-1.12,-1.04,-1.04,-1.2
-1.04,0.8,-0.5200000000000007,-1.28
-1.04,0.31999999999999995,0.23999999999999988,0.56
0.72,-1.04,-1.7600000000000016,-1.16
-1.9200000000000004,-1.28,-1.16,0.31999999999999995
-1.04,-1.3599999999999999,-1.2,-1.7600000000000002
-1.32,-2.4000000000000004,-1.3599999999999999,-2.3200000000000003
-1.32,-1.04,-1.3599999999999999,0.72
-1.12,-1.08,-0.28000000000000047,-1.8800000000000003
-1.6,-1.04,-1.6400000000000001,-1.2
0.4800000000000001,-1.32,-0.2000000000000004,-1.2
-1.24,0.1599999999999998,-2.04,-1.04
0.52,-1.04,-2.08,-1.08
0.76,0.76,-1.3599999999999999,0.64
-1.04,-1.04,-1.48,-1.04
-1.24,0.6000000000000001,-2.12,-1.12
0.72,-1.32,-1.08,-1.3599999999999999
-1.2,-1.52,-2.08,-1.6400000000000001
-1.12,-1.04,-2.3600000000000003,-1.16
0.36,-1.16,-1.2,-0.2000000000000004
-1.04,0.36,-1.6,0.31999999999999995
-1.04,-1.04,-2.0,0.4
0.64,-1.48,-1.8800000000000003,-1.08
-1.3599999999999999,-1.2,-1.44,0.4800000000000001
-1.24,-1.16,0.6000000000000001,0.44000000000000006
-1.16,0.8,0.6799999999999999,0.1599999999999998
-1.08,0.88,-1.08,-1.24
-1.12,-1.08,-1.9600000000000004,-1.08
-1.3599999999999999,-1.2,-1.3599999999999999,-1.16
-1.04,-1.04,-1.8400000000000016,-1.28
-1.04,-1.24,-1.3599999999999999,-1.12
-1.08,-1.24,-1.7200000000000002,-1.56
-1.32,-1.48,-1.9200000000000004,-1.04
-1.24,-1.52,-1.04,-1.08
0.56,0.52,-2.3200000000000003,0.4
-1.12,-1.2,-1.3599999999999999,0.4
0.6799999999999999,-1.12,-1.04,-1.2
-2.220446049250313e-16,-1.44,-1.04,-1.04
-1.3599999999999999,-1.16,-1.04,-2.880000000000001
-1.08,0.76,-2.3600000000000003,-2.000000000000001
0.64,-1.16,-7.0800000000000045,0.6799999999999999
-1.32,0.72,-5.120000000000003,0.31999999999999995
0.31999999999999995,0.64,-2.2800000000000002,0.64
0.64,-1.44,-3.040000000000001,0.44000000000000006
0.64,0.52,-2.16,0.52
0.84,0.8,-1.04,-2.220446049250313e-16
-1.28,0.6000000000000001,-0.28000000000000047,-1.04
-1.08,-1.24,-1.04,-1.08
0.88,-1.56,-1.08,-1.12
-1.44,0.6799999999999999,-0.840000000000001,-0.920000000000001
0.72,-1.2,-4.440000000000002,0.8
0.56,-1.48,-2.4400000000000004,-1.04
-1.28,0.84,-1.4,0.36
0.8,0.76,-1.8800000000000003,-1.12
-1.2,-1.04,-1.04,-1.8400000000000003
-1.28,0.88,-1.9600000000000004,-1.04
-1.04,0.88,-1.04,-1.08
0.52,0.6799999999999999,-1.12,-0.7200000000000009
-1.08,0.84,-1.04,0.4800000000000001
-1.56,0.6000000000000001,-2.6400000000000006,-1.08
0.8,0.76,-1.04,0.19999999999999984
0.72,0.84,-1.3599999999999999,0.4
0.52,-1.2,-1.04,0.11999999999999977
0.56,0.84,-1.2,-1.08
-1.24,-1.24,-1.04,-1.12
-1.08,-1.24,-1.08,0.44000000000000006
-1.24,0.72,-2.360000000000002,-1.2
-1.2,-1.2,-5.120000000000003,0.72
0.88,0.88,-0.5200000000000007,-1.12
-1.12,-1.2,-1.48,0.8
0.8,-1.04,0.0399999999999997,-0.4400000000000006
0.88,0.52,-1.08,-1.04
0.88,0.8,-1.16,-1.44
0.84,0.4800000000000001,-1.56,-1.08
-1.12,-1.16,-2.8400000000000007,-1.2
-1.28,0.76,-1.08,0.11999999999999977
0.72,0.84,-0.9600000000000011,0.31999999999999995
